Run will be saved under: ./run_outputs/run_2000_to_2000-06-30

Screening abstracts and fetching fulltexts...
Running on device: cpu
<pmid: 11109246, isPK: False, prob: 0.000964177364949137>
<pmid: 11103107, isPK: True, prob: 0.9991512298583984>
<pmid: 11100908, isPK: True, prob: 0.999994158744812>
<pmid: 11100907, isPK: True, prob: 0.9999935626983643>
<pmid: 11100906, isPK: True, prob: 0.999993085861206>
<pmid: 11098110, isPK: False, prob: 0.0008217612630687654>
<pmid: 11092576, isPK: False, prob: 0.001839896896854043>
<pmid: 11092225, isPK: True, prob: 0.9999958276748657>
<pmid: 11083108, isPK: True, prob: 0.9997312426567078>
<pmid: 11083107, isPK: True, prob: 0.6852097511291504>
<pmid: 11083106, isPK: True, prob: 0.9160681962966919>
<pmid: 11079894, isPK: False, prob: 0.0007114241598173976>
<pmid: 11074421, isPK: False, prob: 0.0010052770376205444>
<pmid: 11072445, isPK: False, prob: 0.0008890095050446689>
<pmid: 11061983, isPK: False, prob: 0.0011377274058759212>
<pmid: 11061212, isPK: True, prob: 0.9771750569343567>
<pmid: 11060749, isPK: False, prob: 0.3510652184486389>
<pmid: 11060716, isPK: False, prob: 0.0010521585354581475>
<pmid: 11060714, isPK: False, prob: 0.004684245213866234>
<pmid: 11060713, isPK: True, prob: 0.9727636575698853>
<pmid: 11060667, isPK: True, prob: 0.9964568018913269>
<pmid: 11060661, isPK: False, prob: 0.0008779976051300764>
<pmid: 11057767, isPK: True, prob: 0.9999243021011353>
<pmid: 11057343, isPK: True, prob: 0.999624490737915>
<pmid: 11055013, isPK: False, prob: 0.0013833966804668307>
<pmid: 11054154, isPK: False, prob: 0.0013448749668896198>
<pmid: 11051111, isPK: False, prob: 0.000559384236112237>
<pmid: 11045261, isPK: False, prob: 0.479174941778183>
<pmid: 11045259, isPK: False, prob: 0.0016954682068899274>
<pmid: 11038432, isPK: True, prob: 0.9999029636383057>
<pmid: 11037768, isPK: False, prob: 0.0008343600784428418>
<pmid: 11032091, isPK: True, prob: 0.9999933242797852>
<pmid: 11028826, isPK: False, prob: 0.001562449848279357>
<pmid: 11028745, isPK: True, prob: 0.9999911785125732>
<pmid: 11025361, isPK: False, prob: 0.0006153099820949137>
<pmid: 11022321, isPK: False, prob: 0.0035221946891397238>
<pmid: 11021740, isPK: True, prob: 0.9999872446060181>
<pmid: 11021738, isPK: True, prob: 0.9998767375946045>
<pmid: 11016406, isPK: False, prob: 0.0007971316808834672>
<pmid: 11011810, isPK: False, prob: 0.0007772208191454411>
<pmid: 11011771, isPK: False, prob: 0.0007186955190263689>
<pmid: 11011769, isPK: False, prob: 0.0007903259829618037>
<pmid: 11008880, isPK: False, prob: 0.0009496124694123864>
<pmid: 11007920, isPK: False, prob: 0.41513705253601074>
